drug,logrank_p,cox_hr,cox_p,n_sens,n_res,fdr_q
GSK626616AC,0.6729215545835596,1.0400287229038163,0.9447889738980431,41,41,0.802884944953775
Foretinib,0.6775047022647347,1.0340094051707789,0.9382987311112331,41,41,0.803236825542532
P22077,0.6789951582823561,0.7552996045950962,0.43729910016826046,41,41,0.803236825542532
CZC24832,0.6842524621216874,0.8478206284440956,0.7827588676603056,41,41,0.8032767530536774
AZD3759,0.6871771006326479,2.837206477613923,0.1363922429724825,41,41,0.8032767530536774
THR-101,0.6876973641250907,1.2842208381788303,0.6481388810709433,41,41,0.8032767530536774
Ulixertinib,0.6993148113288892,0.6837948373963281,0.4304443542247153,41,41,0.8091864879431702
UNC0379,0.700688717238777,0.5700458941839937,0.2067238430595661,41,41,0.8091864879431702
Ribociclib,0.7020495368388779,0.6481030853061784,0.4180487203787947,41,41,0.8091864879431702
AZD5582,0.7066875891743027,1.0387970844364236,0.8273812908970173,41,41,0.8091864879431702
Tozasertib,0.7073104912596775,0.8370490437486815,0.4516978757695398,41,41,0.8091864879431702
PRIMA-1MET,0.721568442667649,1.0905362722312735,0.8554596695549567,41,41,0.8189996157583505
Irinotecan,0.7217802369093376,1.0361608301430791,0.8796530479455212,41,41,0.8189996157583505
POMHEX,0.7352793765286667,1.3209757920675171,0.6000571754688432,41,41,0.8275759827579569
N29087-69-1,0.7352923300043718,0.8966799007256107,0.8348439726771513,41,41,0.8275759827579569
THR-103,0.744156151920142,0.9983622001758381,0.9981791442807394,41,41,0.8316630753955285
SN-38,0.7449068553003115,0.7771925516306707,0.2593554424785779,41,41,0.8316630753955285
GSK343,0.7616037275109397,0.6223028648679072,0.29277692231334573,41,41,0.8436667366963844
MN-64,0.7617278809740737,1.893406447298813,0.45179690228060876,41,41,0.8436667366963844
UNC0638,0.7734481529114914,0.7178455982334522,0.46622238407266026,41,41,0.8532483591642642
GSK591,0.7942537848724137,0.9035099799997333,0.8555220588905985,41,41,0.8695892706874501
Temozolomide,0.7945168156640731,0.7571565783082252,0.36361886962357315,41,41,0.8695892706874501
Trametinib,0.8047759679682335,1.157043034417639,0.5612843403795956,41,41,0.8759146391682213
EPZ004777,0.806597653334765,1.1487323007608203,0.851569773701705,41,41,0.8759146391682213
Sapitinib,0.8222832239399727,1.0589918501511741,0.8596527573991615,41,41,0.8877058127707864
Teniposide,0.8238420852333198,1.2860103822000968,0.34901608506832127,41,41,0.8877058127707864
Erlotinib,0.8346801920072222,1.3235960969739395,0.549697478219104,41,41,0.8959115574440455
Fludarabine,0.8520749968242048,1.016331134036449,0.964007977583621,41,41,0.9085695829484207
BDF00022089a,0.853087016771821,0.7621382372940351,0.7979365787129118,41,41,0.9085695829484207
Oxaliplatin,0.8562778083902383,0.78814212164569,0.5044287180632763,41,41,0.9085695829484207
PFI-1,0.8772373120263693,1.0906411213281644,0.8930487862953143,41,41,0.919490520558761
50869,0.8800509665905442,0.8889756745860937,0.7286885870999029,41,41,0.919490520558761
Talazoparib,0.8837617805980125,1.0103100303493568,0.9601690021514198,41,41,0.919490520558761
SCH772984,0.8861395742471627,0.6579642650645281,0.25666025161187245,41,41,0.919490520558761
Nutlin-3a (-),0.8863179617867075,0.9244973887074398,0.6770817349232245,41,41,0.919490520558761
CCT-018159,0.8908941406899005,0.34815845294005476,0.0574066243683076,41,41,0.919490520558761
Savolitinib,0.8911894285921916,0.987820214539987,0.9743500328786716,41,41,0.919490520558761
VE-822,0.8930303616937607,0.7762014449530945,0.49472003142327015,41,41,0.919490520558761
Mitoxantrone,0.9033967442043516,0.8937091373255377,0.6726416382802336,41,41,0.9267317154568624
