drug,n_samples,cv_r2_mean,cv_r2_std,best_alpha,predictable
Alpelisib,697,0.18123109299472479,0.048127637942870505,5455.594781168515,True
BDF00022089a,542,0.179219407056474,0.0433929497223911,23357.21469090121,True
AZD4547,694,0.1773352023677523,0.08413939197657473,5455.594781168515,True
Dihydrorotenone,541,0.17689351727599134,0.03650039750647179,11288.378916846883,True
BDOCA000347a,542,0.17651733652074164,0.02974308095597734,11288.378916846883,True
Romidepsin,542,0.17495015862928492,0.09405941177287207,5455.594781168515,True
OF-1,647,0.16975652881654496,0.04730183247666103,11288.378916846883,True
SB505124,169,0.16959855850891814,0.0576013036120223,1274.2749857031322,True
AZD8186,692,0.16953533568736462,0.033311813675404575,5455.594781168515,True
CCT-018159,135,0.16833461573562472,0.13103603095409536,5455.594781168515,True
Methotrexate,642,0.1680544419245418,0.07374634696615594,11288.378916846883,True
XAV939,649,0.16701946755023933,0.0723320703694963,11288.378916846883,True
BMS-536924,692,0.1642543447153328,0.05230241149845586,11288.378916846883,True
IAP_5620,543,0.16378704475179418,0.0687753539821317,5455.594781168515,True
glutathione,558,0.1568502672837053,0.0714342684185886,11288.378916846883,True
MN-64,647,0.15565837277748415,0.0272694466477862,11288.378916846883,True
VSP34_8731,545,0.15526899096580876,0.09085038736618804,5455.594781168515,True
WZ4003,647,0.1544605337071594,0.01728234477684967,11288.378916846883,True
TW 37,271,0.14667669102567635,0.05369970408609605,5455.594781168515,True
Pictilisib,698,0.14111848625416595,0.03852588682873004,5455.594781168515,True
BDP-00009066,566,0.1405994389888127,0.11939105534738645,23357.21469090121,True
123829,542,0.1404280041201354,0.03476211704944128,5455.594781168515,True
LCL161,649,0.13222310751782287,0.06735729018809856,11288.378916846883,True
AZD8055,567,0.1280143269423925,0.08859564067420993,5455.594781168515,True
AZD1332,545,0.10463398989360129,0.08625515276672699,11288.378916846883,True
AZ6102,688,0.10208410154465992,0.05665929863565788,5455.594781168515,True
AZD2014,545,0.09826917697667095,0.08436801301276253,11288.378916846883,False
Cediranib,692,0.09541305369330551,0.030924580135092816,11288.378916846883,False
CHIR-99021,135,0.09052334534939395,0.46371543799982856,11288.378916846883,False
WIKI4,691,0.0861724583423524,0.060156889519808424,11288.378916846883,False
GNE-317,680,0.08452471976789785,0.011861422448318384,11288.378916846883,False
N-acetyl cysteine,563,0.06907021058013066,0.06908117180670656,48329.30238571752,False
OSI-027,691,0.05375501958088598,0.02506458694287651,23357.21469090121,False
AZD6482,172,0.052422871135873,0.08785570104129627,23357.21469090121,False
