master_ccl_id,mean_bet_auc,meso,ccl_name,ccle_primary_site
675,0.80966,False,MHHCALL3,haematopoietic_and_lymphoid_tissue
676,0.6451033333333333,False,MHHCALL4,haematopoietic_and_lymphoid_tissue
677,0.6760433333333333,False,MHHES1,bone
678,0.8461733333333333,False,MHHNB11,autonomic_ganglia
679,0.7466033333333334,False,MIAPACA2,pancreas
680,0.622455,False,MINO,haematopoietic_and_lymphoid_tissue
681,0.85831,False,MJ,haematopoietic_and_lymphoid_tissue
682,0.8304166666666667,False,MKN1,stomach
683,1.0604,False,MKN45,stomach
684,0.9115133333333333,False,MKN7,stomach
685,0.8338666666666666,False,MKN74,stomach
686,0.84152,False,ML1,thyroid
688,0.6789133333333334,False,MM1S,haematopoietic_and_lymphoid_tissue
692,0.6265000000000001,False,MOLM13,haematopoietic_and_lymphoid_tissue
693,0.5938533333333333,False,MOLM16,haematopoietic_and_lymphoid_tissue
694,0.7296233333333334,False,MOLM6,haematopoietic_and_lymphoid_tissue
695,0.83587,False,MOLP2,haematopoietic_and_lymphoid_tissue
696,0.6078333333333333,False,MOLP8,haematopoietic_and_lymphoid_tissue
697,0.6086233333333334,False,MOLT13,haematopoietic_and_lymphoid_tissue
698,0.70643,False,MOLT16,haematopoietic_and_lymphoid_tissue
699,0.72128,False,MOLT3,
701,0.7162466666666667,False,MONOMAC1,haematopoietic_and_lymphoid_tissue
702,0.7982466666666667,False,MONOMAC6,haematopoietic_and_lymphoid_tissue
703,0.8817933333333333,False,MORCPR,lung
704,0.7029566666666667,False,MOTN1,haematopoietic_and_lymphoid_tissue
705,0.8807166666666667,True,MPP89,pleura
706,0.8599433333333333,True,MSTO211H,pleura
710,0.55957,False,MV411,haematopoietic_and_lymphoid_tissue
718,0.6078133333333334,False,NALM6,haematopoietic_and_lymphoid_tissue
719,0.7186366666666667,False,NAMALWA,haematopoietic_and_lymphoid_tissue
720,0.8357866666666666,False,NB1,autonomic_ganglia
721,0.62684,False,NB4,haematopoietic_and_lymphoid_tissue
723,0.84161,False,NCCSTCK140,stomach
851,0.6680766666666665,False,NCO2,haematopoietic_and_lymphoid_tissue
852,0.89231,False,NH6,autonomic_ganglia
855,1.0230733333333333,False,NMCG1,central_nervous_system
858,0.6632033333333333,False,NOMO1,haematopoietic_and_lymphoid_tissue
874,0.6546866666666666,False,NUDHL1,haematopoietic_and_lymphoid_tissue
875,0.6015866666666666,False,NUDUL1,haematopoietic_and_lymphoid_tissue
877,0.8504900000000001,False,NUGC3,stomach
878,0.6730933333333334,False,NUGC4,stomach
879,0.8311433333333333,False,OAW28,ovary
880,0.8846933333333333,False,OAW42,ovary
881,0.71807,False,OC314,ovary
884,0.6215700000000001,False,OCIAML2,haematopoietic_and_lymphoid_tissue
885,0.51333,False,OCIAML3,haematopoietic_and_lymphoid_tissue
886,0.6883633333333333,False,OCIAML5,haematopoietic_and_lymphoid_tissue
887,0.71741,False,OCILY10,haematopoietic_and_lymphoid_tissue
888,0.7238066666666666,False,OCILY19,haematopoietic_and_lymphoid_tissue
889,0.6907933333333333,False,OCILY3,haematopoietic_and_lymphoid_tissue
